symbol,total_return,annualized_return,cagr,volatility,annualized_volatility,max_drawdown,max_drawdown_duration,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,information_ratio,treynor_ratio,avg_drawdown,avg_drawdown_duration,recovery_time,skewness,kurtosis,positive_days,beta,alpha,tracking_error,trade_total_trades,trade_winning_trades,trade_losing_trades,trade_break_even_trades,trade_win_rate,trade_loss_rate,trade_total_pnl,trade_gross_profit,trade_gross_loss,trade_net_profit,trade_profit_factor,trade_avg_profit,trade_avg_loss,trade_profit_loss_ratio,trade_avg_trade_pnl,trade_max_profit,trade_max_loss,trade_max_consecutive_wins,trade_max_consecutive_losses,trade_avg_consecutive_wins,trade_avg_consecutive_losses,trade_avg_holding_period,trade_avg_win_holding_period,trade_avg_loss_holding_period,trade_expectancy,trade_r_multiple_avg,trade_sqn
BNB_USDT,-0.04913957175295758,-0.0004348085264207491,-0.0004348085264207491,5.9403015603736877e-05,0.0011348930195963403,-0.05126229530110153,42146,-6.38759896833152e-05,-0.00015593415255634398,-18.00593375196635,-9.94299804405849,-0.008482033897756541,0.0,0.0,-0.029654544491393355,8431.2,0,-0.4428989731695561,51.3278291224168,0.06112700702310293,0.0,0.0,0.0,251,56,195,0,0.22310756972111553,0.7768924302788844,-4913.957175295739,3772.0081490082075,-8685.965324303947,-4913.957175295739,0.43426470267545986,67.35728837514657,-44.5434119195074,1.5121717325306199,-19.577518626676238,334.5312393357949,-152.4766096881603,3,17,1.302325581395349,4.431818181818182,0.4136786188579017,0.906547619047619,0.2721367521367521,-19.577518626676234,-0.10026830794534432,-4.675155261213138
BTC_USDT,-0.04474511336082365,-0.00039502784977840655,-0.00039502784977840655,6.76156016311819e-05,0.0012917942553443023,-0.047738966779264605,42051,-8.306650400151655e-05,-0.0001714355047071873,-15.788139454407554,-10.40956354808225,-0.008274746531589928,0.0,0.0,-0.025860237217980166,5268.75,0,1.635507142825959,58.72568027759804,0.08219631582681075,0.0,0.0,0.0,283,68,215,0,0.24028268551236748,0.7597173144876325,-4474.511336082937,6112.801164205638,-10587.312500288575,-4474.511336082937,0.5773704293737455,89.89413476773001,-49.24331395483057,1.8255094458140497,-15.810994120434398,455.1762015681859,-181.73732618493125,5,14,1.446808510638298,4.574468085106383,0.4312720848056537,0.8627450980392156,0.2948062015503876,-15.810994120434387,-0.08068120057598875,-3.258034328419286
ETH_USDT,-0.06642285253140534,-0.0005930530891504748,-0.0005930530891504748,7.833287428967079e-05,0.001496547461988994,-0.06926238293999405,41506,-8.267210837640259e-05,-0.00019223307716141055,-13.7603742027541,-8.600154816399359,-0.008562412437704756,0.0,0.0,-0.04201942905619399,4670.666666666667,0,3.27751477548857,131.24255017279464,0.0740618127645487,0.0,0.0,0.0,298,60,238,0,0.20134228187919462,0.7986577181208053,-6642.285253140876,6254.177428921824,-12896.4626820627,-6642.285253140876,0.4849529350106654,104.23629048203037,-54.186817991860075,1.9236466422089724,-22.289547829331806,363.95419639950575,-220.63237976330745,2,13,1.2,4.857142857142857,0.37466442953020135,0.7577777777777777,0.2780812324929972,-22.2895478293318,-0.11514990876839386,-4.529648974362967
SOL_USDT,-0.04171876278268627,-0.00036773727306105286,-0.00036773727306105286,8.459222037665522e-05,0.0016161321010710107,-0.04985516162162214,41813,-9.580054664919389e-05,-0.00021098743753125354,-12.602767595274765,-8.057988143590734,-0.007376112344234494,0.0,0.0,-0.0319683287095523,3011.3571428571427,0,1.9892280280487369,69.09331163643365,0.07001820804464517,0.0,0.0,0.0,283,69,214,0,0.24381625441696114,0.7561837455830389,-4171.876278268905,8583.820206164979,-12755.696484433884,-4171.876278268905,0.6729401422054878,124.40319139369532,-59.60605833847611,2.087089716405425,-14.741612290702863,393.5509095839116,-246.6344394384157,5,19,1.2777777777777777,3.962962962962963,0.388339222614841,0.7466183574879227,0.2728193146417445,-14.74161229070286,-0.07506521678417238,-2.4167944559142978
XRP_USDT,-0.05573251451396055,-0.0004948340638314397,-0.0004948340638314397,8.504571117767305e-05,0.0016247960306593583,-0.060394858664886066,42147,-9.840110193395358e-05,-0.00021905473291783175,-12.613788855401397,-7.873821161405472,-0.008193314377588554,0.0,0.0,-0.03943521499533243,14052.666666666666,0,1.3158418035663353,53.99529404975859,0.07339970205017854,0.0,0.0,0.0,292,66,226,0,0.22602739726027396,0.773972602739726,-5592.141383346066,7163.646012985987,-12755.787396332053,-5592.141383346066,0.5615996716161877,108.54009110584828,-56.441537151911724,1.9230534209887642,-19.151169121048156,340.04005424706673,-223.62971188582327,3,28,1.1785714285714286,3.9649122807017543,0.38378995433789953,0.8300505050505051,0.25346607669616517,-19.151169121048163,-0.09835403427239395,-3.6216494032515465
