name,oos_return_avg,oos_return_5,oos_return_60,oos_sharpe_5,oos_sharpe_60,oos_max_dd_5,oos_max_dd_60
1_baseline_all_factors_q5,-0.7562916639194261,-0.9984419424620005,-0.5141413853768517,-124.37862048599042,-16.134746184532304,-0.9984435241450045,-0.5216023371831515
2_top20_IC_q5,-0.760894702245173,-0.9983030596323347,-0.5234863448580113,-123.59602061508937,-16.459010518264527,-0.9983030596323347,-0.5339674199323061
3_top20_IC_q3,-0.7946965096205512,-0.9994037087651527,-0.5899893104759495,-125.7083572904565,-17.462679214253743,-0.9994037087651527,-0.6013943380957859
4_top18_IC_q3,-0.7900748818813789,-0.9993438608902889,-0.5808059028724688,-123.97076148876175,-17.014247069200565,-0.9993438608902889,-0.5924663799721309
5_top18_60IC_q3_linear,-0.7980636364201477,-0.9995760494630063,-0.5965512233772889,-130.93875818810488,-17.682851679138924,-0.9995760494630063,-0.6081086020724118
6_top18_60IC_q3_tree,-0.7230342264429455,-0.9986876511523063,-0.4473808017335845,-112.08651415626474,-11.958932970896697,-0.9986949355903698,-0.47152399521106536
7_top18_60IC_q3_lgb,,,,,,,
8_top18_60IC_q3_OOS5,-0.9995760494630063,-0.9995760494630063,-0.5965512233772889,-130.93875818810488,-17.682851679138924,-0.9995760494630063,-0.6081086020724118
