name,ret_5,ret_60
BB_Position_20_2.0,0.25036197749090583,0.4347938661228161
BB_Position_20_2.5,0.25036197749090583,0.4347938661228161
MFI_7,0.23149936979528585,0.3533780232794306
MACD_12_26_9,0.13244918778892623,0.3380386113284093
Volume_Ratio_20,-0.05516503870532996,0.3166838912909895
Keltner_20_14_2.0,0.17964671602797888,0.30759886226268396
PSAR_0.02_0.2,0.17821719888147491,0.30561373176301054
RSI_7,0.41291720705548385,0.2904744381563966
CCI_20,0.3463866792348127,0.2878220051425586
SMA_Cross_5_60,0.019255817668143438,0.2822702439035536
Ichimoku_9_26,0.20646019682375116,0.2809296415666034
Trend_Strength_5_10_20_60,0.11909752466709311,0.2747135523156534
Volume_Ratio_10,0.01713650897089436,0.2725755390301998
CCI_14,0.46076140549308264,0.2560323862103453
BB_Width_20_2.0,0.2641326818481198,0.251927984859474
VWAP_10,0.17329908100264935,0.2482566468433829
VWAP_Deviation_20,0.2053475958326081,0.24581649307905518
VWAP_20,0.2329864601457976,0.2276578864405605
Overnight_Gap_20,0.15534023571565814,0.21685802499971296
EOM_14,0.08770011103818542,0.21519142709205452
MFI_14,0.06434494529276891,0.21339537836379563
ATR_7,0.1507967375901076,0.2078121286902932
Chaikin_Osc_3_10,0.1686391004178267,0.20521067230186252
Vol_Skewness_60,0.10852437653888591,0.20287708898150436
SMA_Cross_10_30,0.06866782874199662,0.17215182401303508
WilliamsR_7,0.5523848633543524,0.16941547064491846
ATR_14,0.0626058668881333,0.16752876431219765
GK_20,0.09219069867596397,0.15965667630462388
RS_20,0.05628387647550337,0.15753687425359786
Donchian_10,0.543998351185311,0.15277834209763386
VPT_1,0.20482142432523087,0.15135499514815676
RSI_14,0.03654318923361455,0.150329911614292
Force_Index_13,0.14013075497677585,0.14847336177349635
Price_Acceleration_10,0.5404195774764626,0.14552110443325406
Parkinson_20,0.1214231605751448,0.13719241481157285
YZ_20,0.06965528710455371,0.13273447945114158
Donchian_20,0.4185622835055114,0.1322231721096927
OBV_Velocity_10,0.041551665376217795,0.11129774717050456
Intraday_Range_20,0.09897380131512223,0.10843485306160328
Stochastic_14_3_3,0.38223290633477713,0.10750578790652598
WilliamsR_14,0.38223290633477713,0.10750578790652598
ADX_14,-0.0011001914579041872,0.10274677529545606
Volume_Trend_5_20,0.07383248551682131,0.09761458585047644
Volume_Oscillator_5_20,0.07383248551682131,0.09761458585047644
EWMA_0.94,0.14030664617152055,0.08078224362555186
Vol_Kurtosis_60,0.2283943747207453,0.08010224644144692
MFI_Velocity_14_5,0.23252114147847558,0.07840037603935257
EWMA_0.97,0.14181122894829068,0.07739068802768045
Buying_Pressure_20,0.20355656579497228,0.07445284945160924
ATR_Ratio_14_100,0.11438785930929574,0.05602282425917471
Money_Flow_20,0.21131306282442508,0.05354295840116419
RV_20,0.14185382085758347,0.04926880286989466
GARCH_252_20,0.07952964364419612,0.04816698798384356
Parkinson_60,0.04339814955426591,0.04797239155911326
OBV_5,-0.03119530450063246,0.0475371254178516
OBV_1,-0.029708512426407152,0.0475371254178516
CCV_20,0.13758050688058931,0.04406193313608653
HV_20,0.13472224778663366,0.04406193313608653
HV_60,0.15130370595575648,0.033945731036965965
NVI,-0.153523918601975,0.02800228794687465
AD_Line_1,0.0089419942527047,0.01082201419919393
ADX_20,-0.03065888322038357,-0.0056571057000671665
PVI,0.21901133607367806,-0.01041139117182266
Vol_Regime_10_30,0.020395411414024123,-0.012731329187999685
Stochastic_Cross_14_3,-0.0012445289590438113,-0.014974571580881002
BB_Squeeze_20_2.0_120,0.04391736005590374,-0.022337774980133007
Vol_Percentile_20_252,0.02881826755734984,-0.027879791866075143
VWAP_Trend_20,0.0655413903015285,-0.03355296360142124
Vol_Cone_20_252,0.07505270287000054,-0.05529823292026548
Momentum_20,0.10716934220853847,-0.07484834570333343
ROC_20,0.10716934220853847,-0.07484834570333343
Vol_Trend_20,0.0074973912230333895,-0.08964055690543571
ROC_10,0.15078876500914307,-0.10259841164242911
Momentum_10,0.15078876500914307,-0.10259841164242911
