name,ret_5,ret_60
SMA_Cross_5_60,0.05779883260803853,0.41872142595673933
Vol_Kurtosis_60,0.2812646022706333,0.2728637320832148
Price_Acceleration_10,1.1556891509780294,0.2666565643787675
Volume_Trend_5_20,0.17354002699668358,0.2598843091611738
Volume_Oscillator_5_20,0.17354002699668358,0.2598843091611738
NVI,0.9517048913047084,0.25910775234793526
SMA_Cross_10_30,0.3470748371012662,0.2402956330076056
VPT_1,-0.04043784817710183,0.19415383040770462
Volume_Ratio_20,0.22585744148403375,0.19134658874229382
PSAR_0.02_0.2,0.46179186547742956,0.18987375034423803
Force_Index_13,0.49122513835019954,0.17832474831090606
Volume_Ratio_10,0.29690050277600366,0.14567478177048176
CCI_14,0.6128357136973466,0.1447775575585979
Chaikin_Osc_3_10,0.5166335844192724,0.08904224543500594
BB_Squeeze_20_2.0_120,-0.15237285612626994,0.08079364396618449
GARCH_252_20,-0.09135677327605773,0.0780473796419503
BB_Position_20_2.0,0.31897664154775573,0.07580979799210641
BB_Position_20_2.5,0.31897664154775573,0.07580979799210641
Vol_Trend_20,0.1219962191826256,0.07028172929795429
Ichimoku_9_26,0.2875574299918817,0.06631009408928978
Parkinson_60,-0.017737668252193695,0.06311333441788869
WilliamsR_7,0.5315979545272653,0.05327604106381756
EWMA_0.97,-0.16715147106590444,0.04678181272857307
Vol_Regime_10_30,0.0798849179945651,0.04350832653693004
CCI_20,0.5313649682322372,0.04286311651486563
VWAP_20,0.41026980767490273,0.035292530181905146
HV_60,-0.0758686960966527,0.033355925952953
Overnight_Gap_20,0.20517371465876377,0.0322803110458576
WilliamsR_14,0.5409465133700797,0.026636407988221755
Stochastic_14_3_3,0.5409465133700797,0.026636407988221755
PVI,0.9619502539827163,0.022651376343559182
Donchian_10,0.7056595695167436,0.015492548204868006
Donchian_20,0.5120409675151842,0.0035976654447262835
ATR_7,-0.16790547667498779,0.002169198277943929
Intraday_Range_20,-0.089707166187449,-0.004606657768153943
OBV_1,0.05753012337728958,-0.011481016608511974
OBV_5,0.04727475014979032,-0.011481016608511974
Trend_Strength_5_10_20_60,0.362406344699999,-0.025531281200955158
MFI_14,0.4183265138947423,-0.03743440779255469
VWAP_Deviation_20,0.3205080087155845,-0.03974399712432786
Money_Flow_20,0.7961508066331306,-0.043609409392607934
GK_20,-0.0818455936134318,-0.055904319525711954
MFI_Velocity_14_5,0.24509640552271694,-0.05991157541085368
YZ_20,-0.15814421201795725,-0.06296999923285862
Vol_Skewness_60,0.2910302037803547,-0.06375557684289712
RS_20,-0.09514237054669406,-0.06929343702597446
RV_20,-0.04359906556194548,-0.07122577019491494
Buying_Pressure_20,0.8241446868889619,-0.07748485344761336
ROC_20,0.761924316804975,-0.08219370989566577
Momentum_20,0.761924316804975,-0.08219370989566577
EWMA_0.94,-0.09140659893359204,-0.0823234893331779
AD_Line_1,0.05571345134092187,-0.08779801906249152
Parkinson_20,-0.1662487706763376,-0.09040059100317599
CCV_20,-0.05247177516620649,-0.09092552915469188
HV_20,-0.05418757070907376,-0.09092552915469188
ATR_14,-0.1318275921018034,-0.0991389678686998
Vol_Percentile_20_252,0.05347843752288983,-0.10191123913842481
BB_Width_20_2.0,0.13554370901925084,-0.12134483486507197
Vol_Cone_20_252,0.03697875316199961,-0.12426202208318571
Keltner_20_14_2.0,0.3256768331951605,-0.12647505275330007
ADX_14,0.06224578555215321,-0.13820179700368584
ADX_20,0.04641266249001785,-0.14269081757178204
MACD_12_26_9,-0.03727673971654788,-0.14682003153966705
RSI_14,0.12984577528388375,-0.1478856698484995
RSI_7,0.3840902889171509,-0.15470542292745826
ATR_Ratio_14_100,-0.07772656517438048,-0.15939057375686172
MFI_7,0.31350576968642563,-0.16324520104985285
VWAP_10,0.13003068530212603,-0.16494690501194398
VWAP_Trend_20,0.3056583701955291,-0.18072196885035996
OBV_Velocity_10,0.15192616081683807,-0.20129069662294874
Stochastic_Cross_14_3,-0.13440301536846877,-0.20674424920301404
EOM_14,0.26193645664047294,-0.2641396588230379
ROC_10,0.2244283958139972,-0.2849197371789617
Momentum_10,0.2244283958139972,-0.2849197371789617
