round,expr_str,ic_5,ic_60,ret_5,ret_60,fitness
11,"((abs((ts_min((ts_ema(abs((openmulhigh)),60)add((ts_delta(ts_mean(ts_sum(volume,10),60),20)mul(ts_corr((ts_min(volume,5)divclose),(ts_std(volume,10)add(opendivclose)),60)mulabs(sign(close))))div(ts_min(ts_corr(volume,low,60),10)add(ts_sum(ts_ema(high,10),30)mul(sign(volume)div(closedivneg(volume))))))),60)subhigh))addhigh)addts_mean(abs((((log(ts_sum(open,10))mults_min((ts_ema(abs((ts_min((ts_ema(abs((openmulhigh)),60)add(volumediv(ts_min(ts_corr(volume,low,60),10)add(ts_sum(ts_ema(high,10),30)mul(sign(volume)div(closedivneg(volume))))))),60)subhigh)),60)addts_std(ts_min((opendiv(lowaddvolume)),5),5)),60))mults_min((ts_ema(abs((ts_min((openmults_min((ts_ema(abs((ts_min(abs((ts_min((ts_ema(abs((openmulhigh)),60)addts_std(ts_min(((openmulhigh)div(lowaddvolume)),5),5)),60)subhigh)),60)subhigh)),60)addopen),60)),60)subhigh)),60)addts_std(ts_min((opendiv(lowaddvolume)),5),5)),60))mults_min((ts_ema(abs((ts_min((openmults_min((ts_ema(abs((ts_min(abs((ts_min((ts_ema(abs((openmulhigh)),60)addts_std(ts_min(((openmulhigh)div(lowaddvolume)),5),5)),60)subhigh)),60)subhigh)),60)addopen),60)),60)subhigh)),60)addts_std(ts_min((opendiv(lowaddvolume)),5),5)),60))),60))",-0.007650939403693403,-0.025969340877114656,0.26226191575277125,0.25982286963322343,0.18777271692721934
12,"ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_max(ts_min(log(low),30),60),60),30),30),60),60),60),60),60),30),60)",-0.007354267800965402,-0.022990012597918996,0.29088773801019463,0.31132468906706023,0.21532599153687185
13,"log(ts_mean(ts_max(neg(ts_min(log(ts_ema(ts_ema(ts_sum(ts_max(neg(ts_min(log(ts_mean(ts_max(neg(ts_min(log(ts_mean(ts_mean(ts_max(neg(ts_min(ts_ema(close,60),60)),30),20),20)),60)),30),20)),60)),30),60),60),60)),60)),30),20))",-0.008080439254563308,-0.02294280932783247,0.32975720503964356,0.29911493024626123,0.22475873463742604
14,"ts_min(ts_min(log(((lowsubabs(ts_max(ts_mean(low,30),60)))sub(neg(low)subts_ema(ts_sum(abs((ts_std((ts_min(ts_min(ts_min(high,60),60),60)add(ts_min(ts_ema(ts_sum((ts_corr((volumesublow),abs(open),30)sublow),5),10),60)sub(ts_min(ts_ema(ts_min(ts_min(ts_min(close,60),60),60),10),60)subhigh))),30)addts_min(ts_min(ts_min(high,60),60),60))),30),60)))),60),60)",-0.008164724212580908,-0.02757108792118693,0.2889656168306378,0.31876609788455723,0.21806647197038345
15,"ts_min(abs(ts_min(ts_min(abs(ts_ema(ts_min(abs(ts_min(abs(ts_min(ts_min(abs(ts_min(ts_min(abs(low),60),60)),60),60)),60)),60),60)),60),60)),60)",-0.00684486949497935,-0.023527487921179657,0.27989716823147726,0.2771282050390744,0.19951473425711694
16,"ts_ema((ts_max(neg(ts_max((log(ts_ema((ts_max(neg(sign(ts_corr(ts_delta(ts_min(high,20),5),ts_max(neg(neg(ts_max((log(ts_corr(open,low,60))mults_delta(ts_min(high,20),5)),10))),30),30))),30)sub(ts_ema(low,60)addlow)),60))mults_delta(ts_min(high,20),5)),10)),30)subts_ema((ts_max(neg(sign(ts_ema((ts_max(neg(ts_max((log(ts_ema((ts_max(neg(sign(ts_corr(open,ts_max(neg(neg(ts_max((log(ts_corr(open,low,60))mults_delta(ts_min(high,20),5)),10))),30),30))),30)sub(ts_ema(low,60)addlow)),60))mults_delta(ts_min(high,20),5)),10)),30)subts_ema((ts_max(neg(sign(ts_corr(open,ts_max(open,30),30))),30)sub(ts_ema(low,60)addlow)),60)),60))),30)sub(ts_ema(low,60)addlow)),60)),60)",-0.007945244068547245,-0.02733093596184796,0.16558793802497984,0.2167558819675095,0.13911176400193054
17,"neg(ts_min(ts_min(ts_min(ts_min(ts_min(ts_ema(ts_max(ts_ema(close,30),60),60),10),30),60),60),60))",0.007515744105250006,0.025401081501694737,0.29101312353290365,0.27478820934863046,0.20296799034957863
18,"ts_sum(ts_max(ts_max(ts_sum(ts_max(ts_max(ts_sum(neg(ts_sum(ts_sum(neg(ts_sum((ts_corr(ts_corr((ts_ema(low,30)sublow),(abs(close)subts_corr(volume,close,60)),60),low,60)addts_mean(open,60)),20)),60),20)),60),30),5),60),30),5),60)",-0.008731541618026379,-0.028495109164849066,0.255524952226708,0.250136279955826,0.1825654288813182
19,"ts_sum(log(neg(ts_sum(ts_sum(ts_sum(log(neg(ts_sum(abs(ts_ema(ts_mean(ts_sum(abs(ts_ema(ts_mean(ts_sum(ts_sum(ts_sum(abs(ts_ema(ts_mean(ts_sum(ts_ema(ts_mean(ts_sum(abs(ts_ema(ts_mean((lowsubsign(low)),30),30)),30),30),30),30),30),30)),30),10),10),30),30)),30),30),30)),30))),10),60),30))),10)",-0.00894018386154665,-0.0257757610116986,0.3055992229725981,0.30477424448527746,0.2188381053412432
20,"ts_sum(ts_ema(ts_ema(ts_ema(ts_ema(ts_ema(ts_ema(ts_max(ts_max(low,60),5),60),60),60),60),60),60),10)",-0.007757071593618223,-0.02585708474539246,0.27578848565230096,0.30118301003378134,0.20698214694098038
